q;g
I 05;0.072187868
II 05;0.130779807
III 05;0.069719779
IV 05;0.077828945
I 06;0.078495711
II 06;0.055715853
III 06;0.093804903
IV 06;0.096770404
I 07;0.083589411
II 07;0.098593874
III 07;0.084277977
IV 07;0.092673486
I 08;0.069123146
II 08;0.054526855
III 08;0.060060161
IV 08;-0.019789909
I 09;-0.061887551
II 09;-0.112745472
III 09;-0.0565118
IV 09;0.002819982
I 10;0.057132691
II 10;0.162441995
III 10;0.095077424
IV 10;0.086097931
I 11;0.082926163
II 11;0.044433438
III 11;0.064093672
IV 11;0.052171319
I 12;0.015642469
II 12;-0.046317572
III 12;-0.011182942
IV 12;0.00555804
I 13;0.006540251
II 13;0.062460235
III 13;0.025583899
IV 13;-0.000510206
I 14;-0.008890284
II 14;-0.020489387
III 14;-0.042385151
IV 14;-0.028157301
I 15;0.002509089
II 15;0.04031032
III 15;0.0396617
IV 15;0.024727009
I 16;0.007286925
II 16;-0.038588596
III 16;-0.033272189
IV 16;-0.014932884
I 17;0.005596791
II 17;0.023265834
III 17;0.038506086
IV 17;0.045326848
I 18;0.037977402
II 18;-0.039790994
III 18;-0.034694404
IV 18;-0.063397392
I 19;-0.058860807
II 19;0.005802347
III 19;-0.017512015
IV 19;-0.01154787
I 20;-0.049905299
II 20;-0.190141345
III 20;-0.101614379
IV 20;-0.042719267
I 21;0.024834958
