q;pib
II 04;-0.011420924
III 04;0.049669327
IV 04;0.014944326
I 05;0.029172814
II 05;0.020952535
III 05;0.006529591
IV 05;0.020031186
I 06;0.026311812
II 06;0.012016737
III 06;0.027543294
IV 06;0.021953164
I 07;0.023455275
II 07;0.021887544
III 07;0.012835386
IV 07;0.030846275
I 08;0.009258454
II 08;0.006240749
III 08;0.007025607
IV 08;-0.047182578
I 09;-0.036472092
II 09;-0.021337485
III 09;0.038290479
IV 09;0.018913511
I 10;0.030350813
II 10;0.045656397
III 10;0.004274644
IV 10;0.013796645
I 11;0.023952309
II 11;0.009922373
III 11;0.007338818
IV 11;0.001009041
I 12;-0.010812575
II 12;-0.034164566
III 12;0.031207191
IV 12;0.017159464
I 13;-0.000214259
II 13;0.005462534
III 13;0.006223181
IV 13;-0.009939415
I 14;-0.014978127
II 14;-0.005914528
III 14;-0.008197701
IV 14;0.004947442
I 15;0.014782824
II 15;0.023277787
III 15;-0.000583182
IV 15;-0.011255429
I 16;-0.008967928
II 16;-0.016366977
III 16;0.003724459
IV 16;0.006246829
I 17;0.009248911
II 17;0.009123926
III 17;0.013487291
IV 17;0.0105154
I 18;-0.003111584
II 18;-0.048366792
III 18;0.000451505
IV18;-0.013807394
I 19;0.001186574
II 19;0.001433072
III 19;0.008935016
IV 19;-0.017082821
I 20;-0.041289291
II 20;-0.15814884
III 20;0.132080679
IV 20;0.044272497
I 21;0.02644248
